Input.file,Event.Number,Species.Code,Call,UTC,End.time,Parameter.1,Parameter.2,Parameter.3,Parameter.4,Parameter.5,Parameter.6,Comments,Image,Audio
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210822185958.wav,3/6/2023 12:34,Bm,B NE Pacific,8/22/2021 19:03:00,,,,,,,,"1,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210822202358.wav,3/6/2023 12:35,Bm,B NE Pacific,8/22/2021 20:25:00,,,,,,,,"1,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210822205958.wav,3/6/2023 12:38,Bm,B NE Pacific,8/22/2021 21:03:00,,,,,,,,"1,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210822215958.wav,3/6/2023 12:38,Bm,B NE Pacific,8/22/2021 22:04:00,,,,,,,,"1,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210822231158.wav,3/6/2023 12:38,Bm,B NE Pacific,8/22/2021 23:14:00,,,,,,,,"1,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210823002358.wav,3/6/2023 12:39,Bm,B NE Pacific,8/23/2021 0:27:00,,,,,,,,"1,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210823002358.wav,3/6/2023 12:39,Bm,A NE Pacific,8/23/2021 0:26:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210823005958.wav,3/6/2023 12:39,Bm,A NE Pacific,8/23/2021 1:04:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210823005958.wav,3/6/2023 12:39,Bm,B NE Pacific,8/23/2021 1:03:00,,,,,,,,"1,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210823015958.wav,3/6/2023 12:40,Bm,B NE Pacific,8/23/2021 2:01:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210823015958.wav,3/6/2023 12:40,Bm,A NE Pacific,8/23/2021 2:02:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210823034758.wav,3/6/2023 12:43,Bm,B NE Pacific,8/23/2021 3:49:00,,,,,,,,"1,B",,
