"Input.file","Event.Number","Species.Code","Call","Start.time","End.time","Parameter.1","Parameter.2","Parameter.3","Parameter.4","Parameter.5","Parameter.6","Comments","Image","Audio"
"H:\RECORDINGS\500Hz\ADRIFT_030_500Hz\5987.220728185958.wav","4/18/2023 12:53","Bm","B NE Pacific","7/28/2022 19:03:00",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_030_500Hz\5987.220728192227.wav","4/18/2023 12:54","Bm","A NE Pacific","7/28/2022 19:42:13",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_030_500Hz\5987.220728194457.wav","4/18/2023 12:56","Bm","A NE Pacific","7/28/2022 20:03:23",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_030_500Hz\5987.220728194457.wav","4/18/2023 12:56","Bm","B NE Pacific","7/28/2022 20:04:13",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_030_500Hz\5987.220728205227.wav","4/18/2023 12:56","Bm","B NE Pacific","7/28/2022 21:07:45",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_030_500Hz\5987.220728205227.wav","4/18/2023 12:57","Bm","A NE Pacific","7/28/2022 21:06:58",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_030_500Hz\5987.220728215957.wav","4/18/2023 12:57","Bm","A NE Pacific","7/28/2022 22:08:05",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_030_500Hz\5987.220728215957.wav","4/18/2023 12:57","Bm","B NE Pacific","7/28/2022 22:08:56",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_030_500Hz\5987.220728224457.wav","4/18/2023 12:57","Bm","B NE Pacific","7/28/2022 23:03:17",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_030_500Hz\5987.220728230727.wav","4/18/2023 12:57","Bm","A NE Pacific","7/28/2022 23:11:14",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_030_500Hz\5987.220728235226.wav","4/18/2023 12:58","Bm","A NE Pacific","7/29/2022 0:02:01",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_030_500Hz\5987.220728235226.wav","4/18/2023 12:58","Bm","B NE Pacific","7/29/2022 0:02:45",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_030_500Hz\5987.220729005956.wav","4/18/2023 12:58","Bm","B NE Pacific","7/29/2022 1:09:21",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_030_500Hz\5987.220729005956.wav","4/18/2023 12:58","Bm","A NE Pacific","7/29/2022 1:09:48",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_030_500Hz\5987.220729025226.wav","4/18/2023 12:59","Bm","B NE Pacific","7/29/2022 3:06:02",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
