Input.file,Event.Number,Species.Code,Call,Start.time,End.time,Parameter.1,Parameter.2,Parameter.3,Parameter.4,Parameter.5,Parameter.6,Comments,Image,Audio
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220927183714.wav,4/21/2023 12:10,Bm,B NE Pacific,9/27/2022 18:37:41,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220927183714.wav,4/21/2023 12:10,Bm,A NE Pacific,9/27/2022 18:43:14,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220927185944.wav,4/21/2023 12:10,Bm,A NE Pacific,9/27/2022 19:09:56,NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220927185944.wav,4/21/2023 12:10,Bm,B NE Pacific,9/27/2022 19:10:06,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220927194444.wav,4/21/2023 12:16,Bm,B NE Pacific,9/27/2022 20:04:08,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220927200714.wav,4/21/2023 12:16,Bm,A NE Pacific,9/27/2022 20:21:50,NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220927205214.wav,4/21/2023 12:16,Bm,A NE Pacific,9/27/2022 21:08:18,NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220927205214.wav,4/21/2023 12:17,Bm,B NE Pacific,9/27/2022 21:08:58,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220927215944.wav,4/21/2023 12:17,Bm,B NE Pacific,9/27/2022 22:04:50,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220927215944.wav,4/21/2023 12:17,Bm,A NE Pacific,9/27/2022 22:04:10,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220927224444.wav,4/24/2023 14:05,Bm,B NE Pacific,9/27/2022 23:04:18,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220927224444.wav,4/24/2023 14:06,Bm,A NE Pacific,9/27/2022 23:04:12,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220927235214.wav,4/24/2023 14:06,Bm,B NE Pacific,9/28/2022 0:03:56,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220927235214.wav,4/24/2023 14:06,Bm,A NE Pacific,9/28/2022 0:09:45,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928005944.wav,4/24/2023 14:07,Bm,A NE Pacific,9/28/2022 1:03:36,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928005944.wav,4/24/2023 14:07,Bm,B NE Pacific,9/28/2022 1:03:04,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928014443.wav,4/24/2023 14:07,Bm,B NE Pacific,9/28/2022 2:05:52,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928014443.wav,4/24/2023 14:07,Bm,A NE Pacific,9/28/2022 2:05:05,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928025213.wav,4/24/2023 14:07,Bm,A NE Pacific,9/28/2022 3:02:55,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928025213.wav,4/24/2023 14:08,Bm,B NE Pacific,9/28/2022 3:03:06,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928035943.wav,4/24/2023 14:10,Bm,B NE Pacific,9/28/2022 4:05:07,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928035943.wav,4/24/2023 14:10,Bm,D,9/28/2022 4:05:40,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928044443.wav,4/24/2023 14:11,Bm,A NE Pacific,9/28/2022 4:46:17,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928055213.wav,4/24/2023 14:11,Bm,B NE Pacific,9/28/2022 6:01:40,NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928055213.wav,4/24/2023 14:11,Bm,A NE Pacific,9/28/2022 6:01:27,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928065943.wav,4/24/2023 14:12,Bm,A NE Pacific,9/28/2022 7:02:15,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928065943.wav,4/24/2023 14:12,Bm,B NE Pacific,9/28/2022 7:03:01,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928074443.wav,4/24/2023 14:12,Bm,B NE Pacific,9/28/2022 8:03:41,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928074443.wav,4/24/2023 14:12,Bm,A NE Pacific,9/28/2022 8:02:55,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928085213.wav,4/24/2023 14:12,Bm,A NE Pacific,9/28/2022 9:06:51,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928085213.wav,4/24/2023 14:13,Bm,B NE Pacific,9/28/2022 9:07:38,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928095943.wav,4/24/2023 14:13,Bm,A NE Pacific,9/28/2022 10:03:20,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928095943.wav,4/24/2023 14:13,Bm,B NE Pacific,9/28/2022 10:18:42,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
