Project,DeploymentID,Site,Cruise,Status,Platform,Region,Type,Instrument_ID (serial number),GPS Tracker,GPS ID (if appropriate - top / bottom),GPS Timing (if appropriate - top / bottom),Depth Sensor (serial number),Deployment_Latitude,Deployment_Longitude,Deployment_Date_UTC,"Deployment_Depth_m
",Deploy Vessel,Recovery_Date_UTC,Recovery_Latitude,Recovery_Longitude,Retrieve_Vessel,Array_name (Array letter + 2 digit version number_Hydrophone model numbers),Number_of_Sensors,ChannelNumber_1,SensorNumber_1 (hydrophone serial number),ChannelNumber_2,SensorNumber_2  (hydrophone serial number),ChannelNumber_3,SensorNumber_3  (hydrophone serial number),PreAmp_ID,Data_Start_UTC (defined once data is recovered by scanning LTSA),Data_End_UTC (defined once data is recovered by scanning LTSA),RecordingDuration_m,RecordingInterval_m,SampleRate_kHz,Quality_Category,Quality_LowFreq,Quality_HighFreq,Data_ID,High Pass Filter,Detector,Threshold,Integration Time,Blanking Time,Store Snippets,Snippet pre-trig,Snippet post-trig,Pressure,Acceleration,Temperature,Log GPS,Disable Calibration Tones,Weight Retrieval System,Acoustic Release Number,Enable Code,Anode Length,Known Takes,SanctuaryPermit,Personnel,Notes,
ADRIFT,12,TRI,CS220117,Complete,drift,WCoastUSA,ST4300HF,5992,SPOT,E/AH,30/60,15865,41.03348,-124.43,1/18/2022 3:16,100,R/V Coral Sea,1/23/2022 18:52,40.86609,-124.86101,F/V Schrimshaw,D02_9299,2,1,856162,2,856168,NA,NA,NA,1/18/2022 3:42,1/21/2022 19:39,Continuous,NA,384,good,,,ADRIFT_012,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,NA,NA,Blair Winnacott,Recorder battery died earlier than expected,
ADRIFT,13,MOB,CALCOFI-2204SH,Complete,drift,WCoastUSA,ST640,6655,SPOT,AG/Big B/Rock 7,30/60,16546,36.049917,-122.031117,4/23/2022 20:16,100,R/V Shimada,5/5/2022 16:17,34.99745,-122.2717,R/V Marcus G. Langseth,E02_9299,2,1,856163,2,856171,NA,NA,NA,4/23/2022 20:45,5/4/2022 20:18,Continuous,NA,384,good,1000,192000,ADRIFT_013,NA,No,NA,NA,NA,NA,NA,NA,,,,,Yes,NA,NA,NA,NA,NA,MBNMS,Amy Hayes,Banging noise in lower frequencies,
ADRIFT,14,MOB,CALCOFI-2204SH,Sunk,drift,WCoastUSA,ST640,6669,SPOT,AD/U,30/60,15741,36.062133,-122.013633,,100,R/V Shimada,NA,NA,NA,,I02_9299,2,1,856160,2,856174,,NA,NA,,,Continuous,NA,384,,,,ADRIFT_014,NA,No,NA,NA,NA,NA,NA,NA,,,,,Yes,NA,NA,NA,NA,NA,MBNMS,Amy Hayes,,
ADRIFT,15,SFB,ACCESS,Complete,drift,WCoastUSA,ST640,6668,SPOT and solar gps,K/AF/ROCK 7,30/60,15801,37.9643,-123.5039,6/18/2022 7:48,100,R/V Shimada,6/21/2022 6:39,37.67826,-123.35202,R/V Shimada,K02_9299,2,1,856154,2,856170,NA,NA,NA,6/18/2022 7:48,6/21/2022 6:07,Continuous,NA,384,compromised, , ,ADRIFT_015,NA,No,NA,NA,NA,NA,NA,NA, , , ,No,Yes,NA,NA,NA,NA,NA,GFNMS / CBNMS,"Jan Roletto, Dani Lipske",ACCESS Cruise delayed due to bad weather; rocker stopper was loose resulting in constant noise throughout deployment,
ADRIFT,16,SFB,ACCESS,Complete,drift,WCoastUSA,ST640,6671,SPOT,G/F,30/60,16528,37.80117,-123.38492,6/16/2022 22:37,100,R/V Shimada,6/21/2022 3:25,37.37138,-123.27409,R/V Shimada,N01_92NA96,2,1,856117,2,856118,NA,NA,NA,NA,NA,Continuous,NA,288,unusable,,,ADRIFT_016,NA,No,NA,NA,NA,NA,NA,NA,No,No,No,No,Yes,NA,NA,NA,NA,NA,GFNMS / MBNMS,"Jan Roletto, Dani Lipske",ACCESS Cruise delayed due to bad weather; ST6671 was not recognized as ST640 upon deployment and never started recording,
ADRIFT,17,TRI,Scrimshaw,Complete,drift,WCoastUSA,ST4300HF,5987,SPOT and solar gps,E/AH,30/60,15518,41.05788,-124.48456,4/25/2022 15:36,500,F/V Scrimshaw,4/28/2022 19:17,40.69507,-124.52717,F/V Scrimshaw,D02_9299,2,1,856162,2,856168,NA,NA,NA,4/25/2022 18:59,4/28/2022 19:05,Continuous,NA,384,good,,,ADRIFT_017,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,NA,NA,Blair Winnacott,Testing solar gps unit.,
ADRIFT,18,TRI,Scrimshaw,Complete,drift,WCoastUSA,ST4300HF,5989,SPOT,R/S,30/60,15817,41.05201,-124.54956,4/25/2022 16:12,500,F/V Scrimshaw,4/28/2022 20:18,40.5795,-124.86624,F/V Scrimshaw,C02_9299,2,1,856155,2,856166,NA,NA,NA,4/25/2022 19:59,4/28/2022 20:17,Continuous,NA,384,good,,,ADRIFT_018,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,NA,NA,Blair Winnacott,,
ADRIFT,19,MBY,CCC,Complete,drift,WCoastUSA,ST640,6673,SPOT and solar gps,M/N / S0-638,30/60/30,16549,35.798267,-122.190733,6/21/2022 16:24,100,R/V Fulmar,6/25/2022 22:14,35.977217,-122.047467,R/V Fulmar,L02_9299,2,1,856157,2,856169,NA,NA,NA,6/21/2022 16:12,6/25/2022 22:11,Continuous,NA,384,good,300,192000,ADRIFT_19,NA,No,NA,NA,NA,NA,NA,NA,No,,,No,Yes,NA,NA,NA,NA,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis",CCC Pilot Project. LF recordings are noisy but probably usable for some species ,
ADRIFT,20,MBY,CCC,Complete,drift,WCoastUSA,ST640,6666,Solar,SO-602,30,16647,35.8005,-122.088867,6/21/2022 16:51,100,R/V Fulmar,6/25/2022 18:06,35.612433,-121.9225,R/V Fulmar,A02_9299,2,1,856156,2,856167,NA,NA,NA,6/21/2022 16:45,6/25/2022 17:42,Continuous,NA,384,good,400,192000,ADRIFT_020,NA,No,NA,NA,NA,NA,NA,NA,No,,,No,Yes,NA,NA,NA,NA,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis",CCC Pilot Project. Rocker stopper moved a lot. Noisy in LF and towards the end of the drift. ,
ADRIFT,21,MBY,CCC,Complete,drift,WCoastUSA,ST640,6670,Solar,SO-798,30,16597,35.80185,-121.984017,6/21/2022 17:15,100,R/V Fulmar,6/25/2022 18:30,35.623483,-121.823783,R/V Fulmar,F02_9299,2,1,856164,2,856175,NA,NA,NA,6/21/2022 17:04,6/25/2022 18:20,Continuous,NA,384,compromised,800,192000,ADRIFT_021,NA,No,NA,NA,NA,NA,NA,NA,No,,,No,Yes,NA,NA,NA,NA,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis",CCC Pilot Project. Rocker stopper was lose and banging around through the whole deployment. Noise is mostly in the lower frequencies ,
