,Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,UTC,Begin.Hour,species,Notes
1,1,Spectrogram 1,1,5145.939787,5193.482138,184.275,958.231,3/11/23 22:25,22,HmpSng,NA
2,2,Spectrogram 1,1,6677.846441,6776.871819,162.162,862.408,3/11/23 22:51,22,HmpSng,NA
3,3,Spectrogram 1,1,7828.117703,7901.719364,162.162,891.892,3/11/23 23:10,23,HmpSng,NA
4,4,Spectrogram 1,1,13452.99052,13524.6854,199.017,714.988,3/12/23 0:44,0,HmpSng,NA
5,5,Spectrogram 1,1,14757.12611,14850.30403,184.275,589.681,3/12/23 1:05,1,Hmp,NA
6,6,Spectrogram 1,1,16642.34457,16697.2598,140.049,346.437,3/12/23 1:37,1,Hmp,NA
7,7,Spectrogram 1,1,18371.0793,18460.6979,184.275,597.052,3/12/23 2:06,2,Hmp,NA
8,8,Spectrogram 1,1,21253.13847,21386.61298,199.017,958.231,3/12/23 2:54,2,HmpSng,NA
9,9,Spectrogram 1,1,21657.2231,21709.08748,103.194,877.15,3/12/23 3:00,3,HmpSng,NA
10,10,Spectrogram 1,1,26323.5704,26357.7653,243.243,523.342,3/12/23 4:18,4,Hmp,NA
11,11,Spectrogram 1,1,27757.16363,27806.867,140.049,972.973,3/12/23 4:42,4,HmpSng,NA
12,12,Spectrogram 1,1,31523.07545,31559.93984,243.243,707.617,3/12/23 5:45,5,Hmp,NA
13,13,Spectrogram 1,1,35325.01617,35370.77886,73.71,1002.457,3/12/23 6:48,6,HmpSng,NA
14,14,Spectrogram 1,1,36626.60922,36713.68545,132.678,737.101,3/12/23 7:10,7,HmpSng,NA
15,15,Spectrogram 1,1,37286.68549,37386.47358,176.904,840.295,3/12/23 7:21,7,HmpSng,NA
16,16,Spectrogram 1,1,39692.02448,39747.70242,81.081,1304.668,3/12/23 8:01,8,HmpSng,NA
17,17,Spectrogram 1,1,39966.27019,40027.54135,95.823,737.101,3/12/23 8:06,8,HmpSng,NA
18,18,Spectrogram 1,1,41641.87194,41722.59224,125.307,796.069,3/12/23 8:34,8,HmpSng,NA
19,19,Spectrogram 1,1,42288.47363,42347.96513,228.501,773.956,3/12/23 8:44,8,HmpSng,NA
20,20,Spectrogram 1,1,42800.02447,42894.09222,125.307,2697.789,3/12/23 8:53,8,HmpSng,NA
21,21,Spectrogram 1,1,43311.70242,43430.30406,81.081,1002.457,3/12/23 9:01,9,HmpSng,NA
22,22,Spectrogram 1,1,46870.61676,46970.15061,162.162,825.553,3/12/23 10:01,10,HmpSng,NA
23,23,Spectrogram 1,1,48445.10814,48584.68435,184.275,773.956,3/12/23 10:27,10,HmpSng,NA
24,24,Spectrogram 1,1,50594.20134,50658.39623,678.133,1783.784,3/12/23 11:03,11,HmpSng,NA
25,25,Spectrogram 1,1,51486.06563,51530.30289,162.162,692.875,3/12/23 11:18,11,HmpSng,NA
26,26,Spectrogram 1,1,54436.31145,54501.14193,103.194,847.666,3/12/23 12:07,12,HmpSng,NA
27,27,Spectrogram 1,1,59047.94692,59116.2096,206.388,914.005,3/12/23 13:24,13,HmpSng,NA
28,28,Spectrogram 1,1,62405.3283,62444.09947,162.162,884.521,3/12/23 14:20,14,HmpSng,NA
29,29,Spectrogram 1,1,71017.13337,71057.93844,176.904,515.971,3/12/23 16:43,16,HmpSng,NA
30,30,Spectrogram 1,1,71503.64168,71557.7942,176.904,796.069,3/12/23 16:51,16,HmpSng,NA
31,31,Spectrogram 1,1,73782.06532,73824.52293,132.678,552.826,3/12/23 17:29,17,HmpSng,NA
32,32,Spectrogram 1,1,75823.23484,75912.59921,169.533,825.553,3/12/23 18:03,18,HmpSng,NA
