V1,V2,V3
-123,36,-3553.70166015625
-122.983229813665,36,-3555.56176757812
-122.966459627329,36,-3551.01171875
-122.949689440994,36,-3549.21166992188
-122.932919254658,36,-3560.52514648438
-122.916149068323,36,-3547.26513671875
-122.899378881988,36,-3531.63500976562
-122.882608695652,36,-3524.18505859375
-122.865838509317,36,-3528.23510742188
-122.849068322981,36,-3545.455078125
-122.832298136646,36,-3543.9951171875
-122.815527950311,36,-3536.55493164062
-122.798757763975,36,-3530.41943359375
-122.78198757764,36,-3523.07958984375
-122.765217391304,36,-3510.65942382812
-122.748447204969,36,-3499.74951171875
-122.731677018634,36,-3488.94946289062
-122.714906832298,36,-3484.12939453125
-122.698136645963,36,-3470.02954101562
-122.681366459627,36,-3458.19946289062
-122.664596273292,36,-3443.29321289062
-122.647826086957,36,-3421.873046875
-122.631055900621,36,-3401.9931640625
-122.614285714286,36,-3361.203125
-122.59751552795,36,-3363.953125
-122.580745341615,36,-3316.83325195312
-122.56397515528,36,-3310.92309570312
-122.547204968944,36,-3276.88305664062
-122.530434782609,36,-3234.46508789062
-122.513664596273,36,-3225.5751953125
-122.496894409938,36,-3196.29516601562
-122.480124223603,36,-3170.34521484375
-122.463354037267,36,-3146.58520507812
-122.446583850932,36,-3076.865234375
-122.429813664596,36,-3012.4150390625
-122.413043478261,36,-2945.44506835938
-122.396273291925,36,-2935.59057617188
-122.37950310559,36,-2970.92065429688
-122.362732919255,36,-3015.34057617188
-122.345962732919,36,-2843.78051757812
-122.329192546584,36,-2561.70068359375
-122.312422360248,36,-2207.62060546875
-122.295652173913,36,-1971.890625
-122.278881987578,36,-1820.51062011719
-122.262111801242,36,-1722.95837402344
-122.245341614907,36,-1614.85827636719
-122.228571428571,36,-1568.92834472656
-122.211801242236,36,-1652.67834472656
-122.195031055901,36,-1652.70837402344
-122.178260869565,36,-1598.34838867188
-122.16149068323,36,-1558.64831542969
-122.144720496894,36,-1527.2783203125
-122.127950310559,36,-1498.51708984375
-122.111180124224,36,-1479.33703613281
-122.094409937888,36,-1467.73706054688
-122.077639751553,36,-1418.72705078125
-122.060869565217,36,-1384.85705566406
-122.044099378882,36,-1352.83703613281
-122.027329192547,36,-1321.31701660156
-122.010559006211,36,-1294.28698730469
-121.993788819876,36,-1277.41589355469
-121.97701863354,36,-1270.01586914062
-121.960248447205,36,-1304.55578613281
-121.94347826087,36,-1303.70581054688
-121.926708074534,36,-1288.42578125
-121.909937888199,36,-1308.20581054688
-121.893167701863,36,-1273.73583984375
-121.876397515528,36,-1245.15588378906
-121.859627329193,36,-1221.39050292969
-121.842857142857,36,-1176.47045898438
-121.826086956522,36,-1155.79052734375
-121.809316770186,36,-1143.38049316406
-121.792546583851,36,-1111.73046875
-121.775776397516,36,-1062.65051269531
-121.75900621118,36,-1083.92053222656
-121.742236024845,36,-1005.93048095703
-121.725465838509,36,-934.670288085938
-121.708695652174,36,-905.000305175781
-121.691925465839,36,-876.470275878906
-121.675155279503,36,-772.880310058594
-121.658385093168,36,-656.080261230469
-121.641614906832,36,-534.950317382812
-121.624844720497,36,-473.730285644531
-121.608074534162,36,-417.590301513672
-121.591304347826,36,-302.595642089844
-121.574534161491,36,-114.065650939941
-121.557763975155,36,-66.8856506347656
-121.54099378882,36,-63.6556510925293
-121.524223602484,36,-47.7356491088867
